id-pub-id,id-exp-id,id,id-title,id-authors,id-institutes,id-city,id-country,id-climate-class,data-avail,data-link,data-supp-link,pub-type,pub-name,publisher,pub-year,pub-doi,exp-type,exp-spatial-typology,exp-domains,exp-domain-thermal,exp-domain-air-move,exp-domain-humidity,exp-domain-co2,exp-domain-light,exp-domain-acoustics,exp-domain-behaviour,exp-domain-iaq,exp-tested-t-min,exp-tested-t-max,exp-tested-target-temps,exp-year-start,exp-year-end,exp-seasons,exp-month-start,exp-month-end,exp-time,exp-hours,exp-normalisation-length,exp-session-length,pop-sample-size-calc,pop-sample-size-calc-type,pop-payment,pop-no-tot,pop-male-no,pop-fem-no,pop-m2f-no,pop-f2m-no,pop-male-ratio,pop-age-range,pop-age-mean,pop-age-std,pop-age-male-mean,pop-age-fem-mean,pop-bmi-mean,pop-bmi-std,pop-bmi-male-mean,pop-bmi-fem-mean,physio-parameter,physio-sensing-method,physio-body-site,physio-body-site-sagittal,physio-body-site-surface,physio-sensor-brand,physio-sensor-model,physio-mst-calculated,physio-mst-points,physio-mst-formula,physio-formulas,physio-mst-weighting,env-tdb,env-rh,env-v,env-tg,env-tsurface,env-twb,env-co2,env-illuminance,env-sound-level,env-tout,env-rhout,env-voc,env-light-color,env-solar-rad,ques-thermal-comfort,ques-thermal-sensation,ques-thermal-prefer,ques-thermal-accept,ques-thermal-satisfaction,ques-thermal-pleasure-pleasantness,ques-local-therm-comfort,ques-local-therm-sensation,ques-local-therm-satisfaction,ques-shivering,ques-sweating-sensation,ques-overall-comfort,ques-overall-satisfaction,ques-airmove-comfort,ques-airmove-sensation,ques-local-airmove-sensation,ques-airmove-perception,ques-airmove-prefer,ques-airmove-accept,ques-airmove-satisfaction,ques-humidity-comfort,ques-humidity-sensation,ques-humidity-prefer,ques-humidity-accept,ques-humidity-satisfaction,ques-light-comfort,ques-light-sensation,ques-visual-prefer,ques-light-prefer,ques-light-accept,ques-light-satisfaction,ques-iaq-comfort,ques-iaq-sensation,ques-iaq-prefer,ques-iaq-accept,ques-iaq-satisfaction,ques-odour-intensity,ques-sick-building-syndrome,ques-acoustic-comfort,ques-acoustic-sensation,ques-acoustic-prefer,ques-acoustic-accept,ques-acoustic-satisfaction,cognitive-test-done,cognitive-test-type,select-healthy,select-active-recent-illness,select-no-ongoing-treatment-medication-use,select-age-range,select-healthy-cv-bp-disease,select-neuro-disease,select-metabolic-syndrome,select-immune-related-diseases,select-previous-knowledge,select-thermal-history,select-smoking,select-bmi-range,select-colour-weakness-eyesight,select-hearing,select-lang-skills,select-alcohol,select-dominant-hand,select-contraceptive-type,select-activity-level,select-chronotype,select-emotionally-stable,select-neurodivergent,select-thermal-sensitivity,select-pregnancy,select-diet-weight-change,select-hormone-therapy,select-menopause,select-no-medical-implant,select-sex,part-meta-age,part-meta-sex,part-meta-height,part-meta-weight,part-meta-bmi,part-meta-ponderal-index,part-meta-body-fat,part-meta-ethnicity-nationality,part-meta-bsa,part-meta-thermal-history-background,part-meta-education-profession,part-meta-thermal-sensitivity-preference,part-meta-personality,part-meta-psych-eval,part-meta-smoking,part-meta-activity-level,part-meta-health-status,part-meta-chronotype,part-recent-chrono-change,part-meta-bmr-rmr,part-meta-alcohol-use,part-meta-mens-timing,part-meta-contraceptive-type,part-meta-reg-coffee,part-meta-reg-sleep-time,part-meta-reg-work time,protocol-fixed-clo,protocol-observed-clo,protocol-avoid-stimulant,protocol-avoid-activity,protocol-avoid-heavy-food,protocol-rest-sleep,protocol-circadian,protocol-mens-timing,protocol-time-btw-sessions,protocol-instruction-practice,protocol-diary,protocol-maintain-routine,protocol-blinded,protocol-random,protocol-balancing,protocol-subjects-not-allowed-to-discuss,protocol-food,protocol-water,protocol-prep-body-site,protocol-defined-activity,protocol-observed-met
1,1,1_1,Effect of elevated air temperature and air velocity on thermal comfort and cognitive performance in the tropics,"Chao Cen, Siyu Cheng, Nyuk Hien Wong",National University of Singapore (NUS),Queenstown ,Singapore,Af,Upon request,NAN,NR,J,Building and Environment,Elsevier,2023,https://doi.org/10.1016/j.buildenv.2023.110203,Living Lab,Classroom/Study room,"Air temperature, Air velocity",1,1,NR,NR,NR,NR,NR,NR,27,30,"27, 28, 29, 30",2021,2021,NR,3,7,"2021:3, 4, 6, 7","09:00-12:30, 14:00-17:30",30,180,Y,Precedence,Y,16,9,7,0,0,56.25%,NR,22.7,2.7,23.1,22.1,21.3,2.8,22.4,19.9,Skin temperature,Thermochron,Chest,NR,Anterior,iButton,DS1992L,Y,4,Ramanathan (1964),"MST(t) = 0.3SkinTchest(t) + 0.3SkinTupper arm(t) + 0.2SkinTthigh(t)
+ 0.2SkinTcalf(t)",0.3,MNR,MNR,MNR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=7; range=(-3, -2, -1, 0, +1, +2, +3); scale=(""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"")","points=3; range=(-1, 0, +1); scale=(""cooler"", ""no change"", ""warmer"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=3; range=(-1, 0, +1); scale=(""less air movement"", ""no change"", ""more air movement"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,"NASA Task Load Index (TLX), CBS, Typing",Y,NR,Y,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,Y,Y,Y,Y,NR,NR,NR,NR,Y,Y,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,NR,Y,Y,NR,Y,Y,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1,1,1_1,Effect of elevated air temperature and air velocity on thermal comfort and cognitive performance in the tropics,"Chao Cen, Siyu Cheng, Nyuk Hien Wong",National University of Singapore (NUS),Queenstown ,Singapore,Af,Upon request,NAN,NR,J,Building and Environment,Elsevier,2023,https://doi.org/10.1016/j.buildenv.2023.110203,Living Lab,Classroom/Study room,"Air temperature, Air velocity",1,1,NR,NR,NR,NR,NR,NR,27,30,"27, 28, 29, 30",2021,2021,NR,3,7,"2021:3, 4, 6, 7","09:00-12:30, 14:00-17:30",30,180,Y,Precedence,Y,16,9,7,0,0,56.25%,NR,22.7,2.7,23.1,22.1,21.3,2.8,22.4,19.9,Skin temperature,Thermochron,Upper arm,NR,NR,iButton,DS1992L,Y,4,Ramanathan (1964),"MST(t) = 0.3SkinTchest(t) + 0.3SkinTupper arm(t) + 0.2SkinTthigh(t)
+ 0.2SkinTcalf(t)",0.3,MNR,MNR,MNR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=7; range=(-3, -2, -1, 0, +1, +2, +3); scale=(""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"")","points=3; range=(-1, 0, +1); scale=(""cooler"", ""no change"", ""warmer"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=3; range=(-1, 0, +1); scale=(""less air movement"", ""no change"", ""more air movement"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,"NASA Task Load Index (TLX), CBS, Typing",Y,NR,Y,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,Y,Y,Y,Y,NR,NR,NR,NR,Y,Y,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,NR,Y,Y,NR,Y,Y,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1,1,1_1,Effect of elevated air temperature and air velocity on thermal comfort and cognitive performance in the tropics,"Chao Cen, Siyu Cheng, Nyuk Hien Wong",National University of Singapore (NUS),Queenstown ,Singapore,Af,Upon request,NAN,NR,J,Building and Environment,Elsevier,2023,https://doi.org/10.1016/j.buildenv.2023.110203,Living Lab,Classroom/Study room,"Air temperature, Air velocity",1,1,NR,NR,NR,NR,NR,NR,27,30,"27, 28, 29, 30",2021,2021,NR,3,7,"2021:3, 4, 6, 7","09:00-12:30, 14:00-17:30",30,180,Y,Precedence,Y,16,9,7,0,0,56.25%,NR,22.7,2.7,23.1,22.1,21.3,2.8,22.4,19.9,Skin temperature,Thermochron,Thigh,NR,Anterior,iButton,DS1992L,Y,4,Ramanathan (1964),"MST(t) = 0.3SkinTchest(t) + 0.3SkinTupper arm(t) + 0.2SkinTthigh(t)
+ 0.2SkinTcalf(t)",0.2,MNR,MNR,MNR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=7; range=(-3, -2, -1, 0, +1, +2, +3); scale=(""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"")","points=3; range=(-1, 0, +1); scale=(""cooler"", ""no change"", ""warmer"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=3; range=(-1, 0, +1); scale=(""less air movement"", ""no change"", ""more air movement"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,"NASA Task Load Index (TLX), CBS, Typing",Y,NR,Y,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,Y,Y,Y,Y,NR,NR,NR,NR,Y,Y,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,NR,Y,Y,NR,Y,Y,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1,1,1_1,Effect of elevated air temperature and air velocity on thermal comfort and cognitive performance in the tropics,"Chao Cen, Siyu Cheng, Nyuk Hien Wong",National University of Singapore (NUS),Queenstown ,Singapore,Af,Upon request,NAN,NR,J,Building and Environment,Elsevier,2023,https://doi.org/10.1016/j.buildenv.2023.110203,Living Lab,Classroom/Study room,"Air temperature, Air velocity",1,1,NR,NR,NR,NR,NR,NR,27,30,"27, 28, 29, 30",2021,2021,NR,3,7,"2021:3, 4, 6, 7","09:00-12:30, 14:00-17:30",30,180,Y,Precedence,Y,16,9,7,0,0,56.25%,NR,22.7,2.7,23.1,22.1,21.3,2.8,22.4,19.9,Skin temperature,Thermochron,Calf,NR,Posterior,iButton,DS1992L,Y,4,Ramanathan (1964),"MST(t) = 0.3SkinTchest(t) + 0.3SkinTupper arm(t) + 0.2SkinTthigh(t)
+ 0.2SkinTcalf(t)",0.2,MNR,MNR,MNR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=7; range=(-3, -2, -1, 0, +1, +2, +3); scale=(""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"")","points=3; range=(-1, 0, +1); scale=(""cooler"", ""no change"", ""warmer"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=3; range=(-1, 0, +1); scale=(""less air movement"", ""no change"", ""more air movement"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,"NASA Task Load Index (TLX), CBS, Typing",Y,NR,Y,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,Y,Y,Y,Y,NR,NR,NR,NR,Y,Y,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,NR,Y,Y,NR,Y,Y,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2,1,2_1,Evaluation of cognitive performance in high temperature with heart rate: A pilot study,"Yuyan Chen, Zheng Wang, Xiaoyu Tian, Weiwei Liu","Central South University, Hunan University",Changsha,China,Cfa,Not available for sharing,NAN,NR,J,Building and Environment,Elsevier,2023,https://doi.org/10.1016/j.buildenv.2022.109801,Lab,Office/Workstations,"Air temperature, Humidity",1,NR,1,NR,NR,NR,NR,NR,26,37,"26, 30, 33, 37",2016,2016,NR,7,11,"2016: 7, 8, 9, 10, 11",NR,40,145,NR,NAN,Y,32,16,16,0,0,50.00%,20-30,22.9,1.6,NR,NR,20.1,2.4,NR,NR,Heart/Pulse rate,ECG,Chest,NAN,NAN,Suunto,Dual,NAN,NAN,NAN,NAN,NAN,1.5,1.5,1.5,1.5,NR,1.5,NR,1.5,NR,NR,NR,NR,NR,NR,"points=6; range=(-2, -1, -0.01, +0.01, +1, +2); scale=(""very uncomfortable"", ""uncomfortable"", ""just uncomfortable"", ""just comfortable"", ""comfortable"", ""very comfortable"")","points=9; range=(-4, -3, -2, -1, 0, +1, +2, +3, +4); scale=(""very cold"", ""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"", ""very hot"")",NR,"points=4; range=(-1, -0.01, +0.01, +1); scale=(""clearly unacceptable"", ""just unacceptable"", ""just acceptable"", ""clearly acceptable"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,"Typing, Stroop, d2, Visual learning, Calculation, Overlapping, Redirection, Alertness, Work performance ",Y,NR,Y,NR,Y,NR,NR,NR,NR,Y,Y,NR,Y,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,Y,Y,Y,Y,NR,Y,NR,NR,Y,Y,NR,NR,NR,NR,Y,Y,NR,NR,NR,NR,Y,NR,NR,NR,NR,Y,NR,Y,Y,NR,Y,Y,Y,Y,Y,NR,NR,Y,Y,Y,Y,NR,NR,NR,Y,NR
2,2,2_2,Evaluation of cognitive performance in high temperature with heart rate: A pilot study,"Yuyan Chen, Zheng Wang, Xiaoyu Tian, Weiwei Liu","Central South University, Hunan University",Changsha,China,Cfa,Not available for sharing,NAN,NR,J,Building and Environment,Elsevier,2023,https://doi.org/10.1016/j.buildenv.2022.109801,Lab,Office/Workstations,"Air temperature, Humidity",1,NR,1,NR,NR,NR,NR,NR,26,37,"26, 30, 37",2017,2017,NR,11,12,"2017: 11, 12",NR,40,175,NR,NAN,Y,24,12,12,0,0,50.00%,20-30,22.5,1.4,NR,NR,22.4,1.5,NR,NR,Heart/Pulse rate,ECG,Chest,NAN,NAN,Suunto,Dual,NAN,NAN,NAN,NAN,NAN,1.5,1.5,1.5,1.5,NR,1.5,NR,1.5,NR,NR,NR,NR,NR,NR,"points=6; range=(-2, -1, -0.01, +0.01, +1, +2); scale=(""very uncomfortable"", ""uncomfortable"", ""just uncomfortable"", ""just comfortable"", ""comfortable"", ""very comfortable"")","points=9; range=(-4, -3, -2, -1, 0, +1, +2, +3, +4); scale=(""very cold"", ""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"", ""very hot"")",NR,"points=4; range=(-1, -0.01, +0.01, +1); scale=(""clearly unacceptable"", ""just unacceptable"", ""just acceptable"", ""clearly acceptable"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,"Typing, Stroop, d2, Visual learning, Calculation, Overlapping, Redirection, Alertness, Work performance ",Y,NR,Y,NR,Y,NR,NR,NR,NR,Y,Y,NR,Y,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,Y,NR,NR,NR,NR,NR,Y,NR,NR,Y,NR,Y,Y,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,NR,Y,Y,NR,Y,Y,Y,Y,Y,NR,NR,Y,Y,Y,Y,NR,NR,NR,Y,NR
2,3,2_3,Evaluation of cognitive performance in high temperature with heart rate: A pilot study,"Yuyan Chen, Zheng Wang, Xiaoyu Tian, Weiwei Liu","Central South University, Hunan University",Changsha,China,Cfa,Not available for sharing,NAN,NR,J,Building and Environment,Elsevier,2023,https://doi.org/10.1016/j.buildenv.2022.109801,Lab,Office/Workstations,"Air temperature, Humidity",1,NR,1,NR,NR,NR,NR,NR,26,39,"26, 39",2019,2019,NR,8,10,"2019: 8, 9, 10",NR,40,195,NR,NAN,Y,48,24,24,0,0,50.00%,20-30,21.4,1.6,NR,NR,21.4,3.6,NR,NR,Heart/Pulse rate,ECG,Chest,NAN,NAN,Suunto,Dual,NAN,NAN,NAN,NAN,NAN,1.5,1.5,1.5,1.5,NR,1.5,NR,1.5,NR,NR,NR,NR,NR,NR,"points=6; range=(-2, -1, -0.01, +0.01, +1, +2); scale=(""very uncomfortable"", ""uncomfortable"", ""just uncomfortable"", ""just comfortable"", ""comfortable"", ""very comfortable"")","points=9; range=(-4, -3, -2, -1, 0, +1, +2, +3, +4); scale=(""very cold"", ""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"", ""very hot"")",NR,"points=4; range=(-1, -0.01, +0.01, +1); scale=(""clearly unacceptable"", ""just unacceptable"", ""just acceptable"", ""clearly acceptable"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,"Typing, Stroop, d2, Visual learning, Calculation, Overlapping, Redirection, Alertness, Work performance ",Y,NR,Y,NR,Y,NR,NR,NR,NR,Y,Y,NR,Y,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,Y,NR,NR,Y,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,NR,Y,Y,NR,Y,Y,Y,Y,Y,NR,NR,Y,Y,Y,Y,NR,NR,NR,Y,NR
3,1,3_1,Influences of Indoor Air Temperatures on Empathy and Positive Affect,"Rania Christoforou, Hannah Pallubinsky, Tobias Maria Burgholz, Mahmoud El-Mokadem, Janine Bardey, Kai Rewitz, Dirk Müller, Marcel Schweiker",RWTH Aachen University,Aachen,Germany,Cfb,Upon request,NAN,NR,J,"International Journal of
Environmental Research
and Public Health",MDPI,2024,https://doi.org/10.3390/ijerph21030323,Lab,Office/Workstations,Air temperature,1,NR,NR,NR,NR,NR,NR,NR,21,28,"21, 28",2021,2021,Summer,NR,NR,NR,09:00-17:00,60,480,Y,A priori,NR,31,15,16,0,0,48.39%,NR,40.7,16.5,NR,NR,NR,NR,NR,NR,Skin temperature,Thermochron,Neck,NR,NR,iButton,NR,Y,4,ISO 9886: 2004,NR,NR,MNR,MNR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=7; range=(-3, -2, -1, 0, +1, +2, +3); scale=(""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,PANAS,NR,Y,Y,NR,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,Y,Y,NR,Y,NR,NR,Y,Y,Y,Y,NR,NR,NR,NR,NR,NR,Y,NR,Y,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,Y,NR,Y,Y,Y,Y,Y,NR,NR,NR,NR,NR,NR,Y,NR
3,1,3_1,Influences of Indoor Air Temperatures on Empathy and Positive Affect,"Rania Christoforou, Hannah Pallubinsky, Tobias Maria Burgholz, Mahmoud El-Mokadem, Janine Bardey, Kai Rewitz, Dirk Müller, Marcel Schweiker",RWTH Aachen University,Aachen,Germany,Cfb,Upon request,NAN,NR,J,"International Journal of
Environmental Research
and Public Health",MDPI,2024,https://doi.org/10.3390/ijerph21030323,Lab,Office/Workstations,Air temperature,1,NR,NR,NR,NR,NR,NR,NR,21,28,"21, 28",2021,2021,Summer,NR,NR,NR,09:00-17:00,60,480,Y,A priori,NR,31,15,16,0,0,48.39%,NR,40.7,16.5,NR,NR,NR,NR,NR,NR,Skin temperature,Thermochron,Hand,Left,NR,iButton,NR,Y,4,ISO 9886: 2004,NR,NR,MNR,MNR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=7; range=(-3, -2, -1, 0, +1, +2, +3); scale=(""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,PANAS,NR,Y,Y,NR,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,Y,Y,NR,Y,NR,NR,Y,Y,Y,Y,NR,NR,NR,NR,NR,NR,Y,NR,Y,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,Y,NR,Y,Y,Y,Y,Y,NR,NR,NR,NR,NR,NR,Y,NR
3,1,3_1,Influences of Indoor Air Temperatures on Empathy and Positive Affect,"Rania Christoforou, Hannah Pallubinsky, Tobias Maria Burgholz, Mahmoud El-Mokadem, Janine Bardey, Kai Rewitz, Dirk Müller, Marcel Schweiker",RWTH Aachen University,Aachen,Germany,Cfb,Upon request,NAN,NR,J,"International Journal of
Environmental Research
and Public Health",MDPI,2024,https://doi.org/10.3390/ijerph21030323,Lab,Office/Workstations,Air temperature,1,NR,NR,NR,NR,NR,NR,NR,21,28,"21, 28",2021,2021,Summer,NR,NR,NR,09:00-17:00,60,480,Y,A priori,NR,31,15,16,0,0,48.39%,NR,40.7,16.5,NR,NR,NR,NR,NR,NR,Skin temperature,Thermochron,Scapula,Right,Posterior,iButton,NR,Y,4,ISO 9886: 2004,NR,NR,MNR,MNR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"points=7; range=(-3, -2, -1, 0, +1, +2, +3); scale=(""cold"", ""cool"", ""slightly cool"", ""neutral"", ""slightly warm"", ""warm"", ""hot"")",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,PANAS,NR,Y,Y,NR,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,Y,Y,NR,Y,NR,NR,Y,Y,Y,Y,NR,NR,NR,NR,NR,NR,Y,NR,Y,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,Y,NR,Y,Y,Y,Y,Y,NR,NR,NR,NR,NR,NR,Y,NR
