col_id,col_name,col_pretty_name,category_pretty_names,data_type,unit,allowed_values,description
1,id-pub-id,Publication ID,ID,integer,-,Any value,"Publication IDs are in 0000 format, with the initial number indicating the dataset update round, and the last three numbers indicating the publication id assigned within that round."
2,id-exp-id,Experiment ID,ID,integer,-,Any value,"If the publication includes results from more then one experiment, each individual experiment is differentiated here."
3,id,Unique study ID,ID,text,-,Any value,"ID combining the publication and experiment IDs, resulting in unique study ID"
4,id-title,Publication title,ID,text,-,Any value,Title of the publication.
5,id-authors,Authors,ID,text,-,Any value,"Authors as listed in the publication, comma-separated."
6,id-institutes,Institutes of the authors,ID,text,-,Any value,"Author affiliations in the order listed in the publication, comma-separated. Only the highest institutional level is recorded (e.g., university name, not department name)."
7,id-city,City of experiment,Context,text,-,"NR, any value","City in which the experiment took place. If the same protocol was repeated in multiple cities, the cities are recorded as comma-separated values in the same cell."
8,id-country,Country of experiment,Context,text,-,"NR, any value",Country in which the experiment took place.
9,id-climate-class,Climate class,Context,categorical,-,"NR, any value",Köppen–Geiger climate classification assigned based on city and country information.
10,data-avail,Data availability,Data availability,categorical,-,"NR, Not available for sharing, Upon request, Available, NC","Statement on whether the underlying study data are available to other researchers. 

NR = no information provided. Not available for sharing = explicitly stated that data cannot be shared. Upon request = explicitly stated to be available upon request or reasonable request. Available = publicly accessible link provided; the link is stored in data_link. NC = conflicting statements regarding data availability."
11,data-link,Link to downloadable dataset,Data availability,text,-,"NR, NAN, NC, any value","If a publicly accessible dataset link is provided, it is recorded here."
12,data-supp-link,Supplementary documents,Data availability,text,-,"NR, NAN, NC, any value","If a supplementary document link is provided, it is recorded here."
13,pub-type,Publication type,Publication,categorical,-,"C, J, B","C: Conference, J: Journal, B: Book. Currently only J type exists."
14,pub-name,Name of the publication,Publication,text,-,Any value,"Name of the journal, conference proceedings, or other publication outlet."
15,publisher,Publisher,Publication,text,-,Any value,Publisher of the publication outlet.
16,pub-year,Publication year,Publication,integer,yyyy,Any value,Year of publication.
17,pub-doi,DOI,Publication,text,-,Any value,Digital Object Identifier (DOI) of the publication.
18,exp-type,Experiment type,Experiment,categorical,-,"NR, NC, Lab, Field, Living Lab, Mixed",Type of experimental setting.
19,exp-spatial-typology,Spatial typology of the test environment,Experiment,categorical,-,"NR, NC, Office/Workstations, Classroom/Study room, Seating, Desk&Chair, Residential, Free-living",Spatial typology of the test environment or simulated setting used in the experiment.
20,exp-domains,Experimental domains,Experiment,multi_categorical,-,"Air temperature
Air temperature: Double step change
Air temperature: Ramp
Air temperature: Non-uniform
Outdoor temperature
Solar radiation
Radiant temperature
Radiant temperature: Double step change
Radiant temperature: Ramp
Radiant temperature: Non-uniform
Air velocity
Air velocity: Ramp
Airflow direction
CO2
Illumination
Light colour
Clothing
Activity level
Thermal perception
PMV
NC
Sound level
Odour
NR
Acclimation
Adaptive behaviour
Visual access
Relative humidity
Relative humidity: Ramp","This field allows for comma separated values, and includes additional information after the :"
21,exp-domain-thermal,Domains: Thermal,Experiment,boolean,-,"Y, NR, NC","Indicates whether thermal conditions were experimentally varied, including air, operative, radiant, surface, and/or outdoor temperature. This may include static differences, step changes, ramps, or other thermal manipulations."
22,exp-domain-air-move,Domains: Air movement,Experiment,boolean,-,"Y, NR, NC","Indicates whether air velocity were experimentally varied, including air, operative, radiant, surface, and/or outdoor temperature. This may include static differences, step changes, ramps, or other thermal manipulations."
23,exp-domain-humidity,Domains: Humidity,Experiment,boolean,-,"Y, NR, NC","If different humidity levels were tested, then 1. Could be step change, double step change, ramp, or others."
24,exp-domain-co2,Domains: CO2,Experiment,boolean,-,"Y, NR, NC","If different CO2 levels were tested, then 1. Could be step change, double step change, ramp, or others."
25,exp-domain-light,Domains: Light,Experiment,boolean,-,"Y, NR, NC","If different illumination levels, colour temperature, or other light aspects were tested, then 1. Could be step change, double step change, ramp, or others."
26,exp-domain-acoustics,Domains: Acoustic,Experiment,boolean,-,"Y, NR, NC","If different sound levels, or other acoustic aspects were tested, then 1. Could be step change, double step change, ramp, or others."
27,exp-domain-behaviour,Domains: Adaptive behaviour,Experiment,boolean,-,"Y, NR, NC","If test scenarios included different adaptive behaviour components, ie. clothing, different activities, location change, posture change, etc. "
28,exp-domain-iaq,Domains: IAQ,Experiment,boolean,-,"Y, NR, NC","If different IAQ aspects, ie. odour, were tested, then 1. Could be step change, double step change, ramp, or others."
29,exp-tested-t-min,Minimum tested temperature,Experiment,float,"°C, or °F","NR, NAN, NC, any value","Minimum temperature that was tested in the experiment. If reported I take operative temperature, if not, air temperature. Stored as Celsius. "
30,exp-tested-t-max,Maximum tested temperature,Experiment,float,"°C, or °F","NR, NAN, NC, any value","Maximum temperature that was tested in the experiment. If reported I take operative temperature, if not, air temperature. Stored as Celsius. "
31,exp-tested-target-temps,Tested temperatures,Experiment,float,"°C, or °F","NR, NAN, NC, Free running, any value","Target temperatures of all tested scenarios, comma separated. Can be any number, any number range, or Free running.

If the test scenario was a ramp, then stated with a dash in between. ie. 28, 28-16, 16 would mean there were two static conditions tested seoarately, at 16 and 28C, and a third scenario where the temperature started from 28 and decreased to 16 was tested.

Free running is when there were no target temperatures."
32,exp-year-start,Start year,Time,integer,-,"NR, NC, any value",Start of the experiments
33,exp-year-end,End year,Time,integer,-,"NR, NC, any value",Last year of the experiments
34,exp-seasons,Seasons,Time,categorical,-,"NR, Summer, Autumn, Winter, Spring, NAN","In case the season is mentioned, it is stored here. Sometimes authors only mention seasons and no month/year information is given"
35,exp-month-start,Start moth,Time,integer,-,"NR, NC, any value","Month the experiment started, in numerical format. ie. 1=January"
36,exp-month-end,End month,Time,integer,-,"NR, NC, any value","Month the experiment ended, in numerical format. ie. 1=January"
37,exp-time,Experiment time,Time,string,-,"NR, NC, any value","A combined version of the exp-year-start, exp-year-end, exp-seasons, exp-month-start, exp-month-end data. This is relevant as storing only start and end did not work for non-continuous cases. If the experiment spanned over several years, it is reported as [yyyy1: m1, m2, m3], [yyyy2: m1, m2, m3, m4]"
38,exp-hours,Session times,Time,time,hh:mm,"NR, NC, any value","Start and end times as hh:mm-hh:mm format. If more than one session period exists, then all values are listed as comma separated."
39,exp-normalisation-length,Length of normalization,Time,integer,minutes,"NR, NC, any value","Normalisation, acclimation, acclimatisation, adaptation, stabilisation, preparation, etc.. This is outside the session length duration, occurs before the session start in a controlled environment. in minutes.

If there is no fixed duration, but a range (ie. 'the sessions lasted minumum 2 hours', or 'the participants waited before the sessions for 15-20 minutes') then the minimum amount is stored. This would mean the first example's session length is 120 mins, and normalisation is 15 mins."
